cost_function,Building_1,District
all_time_peak_average,,0.8619
annual_normalized_unserved_energy_total,0.015,0.015
carbon_emissions_total,0.3845,0.3845
cost_total,0.3623,0.3623
daily_one_minus_load_factor_average,,1.3075
daily_peak_average,,0.6937
discomfort_cold_delta_average,0.0003,0.0003
discomfort_cold_delta_maximum,0.1236,0.1236
discomfort_cold_delta_minimum,0.0,0.0
discomfort_cold_proportion,0.0,0.0
discomfort_hot_delta_average,9.5163,9.5163
discomfort_hot_delta_maximum,16.7934,16.7934
discomfort_hot_delta_minimum,0.0,0.0
discomfort_hot_proportion,0.9804,0.9804
discomfort_proportion,0.9804,0.9804
electricity_consumption_total,0.3864,0.3864
monthly_one_minus_load_factor_average,,1.132
one_minus_thermal_resilience_proportion,1.0,1.0
power_outage_normalized_unserved_energy_total,0.5685,0.5685
ramping_average,,0.8357
zero_net_energy,0.2664,0.2664
